"year","metric","group"
2000,20.2998804437261,"age40_baseline"
2001,19.1098100985858,"age40_baseline"
2002,18.961933971251,"age40_baseline"
2003,20.1996339237589,"age40_baseline"
2004,20.7947452832419,"age40_baseline"
2005,21.2396706803614,"age40_baseline"
2006,22.0952017178044,"age40_baseline"
2007,22.4150537932102,"age40_baseline"
2008,22.8214786612836,"age40_baseline"
2009,22.8229328268583,"age40_baseline"
2010,22.875442623267,"age40_baseline"
2011,24.2700839438892,"age40_baseline"
2012,24.9213723909032,"age40_baseline"
2013,25.0608812923788,"age40_baseline"
2014,26.1286250296177,"age40_baseline"
2015,24.9079761580828,"age40_baseline"
2016,24.6952805174442,"age40_baseline"
2017,24.8021214103562,"age40_baseline"
2018,25.3396071015685,"age40_baseline"
2019,25.5519713281511,"age40_baseline"
2020,26.0695360387185,"age40_baseline"
2021,26.298759750509,"age40_baseline"
2022,26.7974030289432,"age40_baseline"
2023,26.9962828118495,"age40_baseline"
2024,27.4810437101456,"age40_baseline"
2025,28.0599295156372,"age40_baseline"
